0;krikcaldy;;
1;dunfermline;56.0713724, -3.4616183;1
2;wareham;50.6868972, -2.1098377;1
3;leominster, hereforedshire;52.223206, -2.738751;0.81
4;clitheroe;53.8717465, -2.3926783;1
5;orkney and shetland;58.9819908, -2.9596737;0.7290000000000001
6;tower hamlets,bow and bromley;52.49162, -2.138843;0
7;glasgow, bridgeton;55.861155, -4.2501687;1
8;kin, perthshire and kinross-shire;56.206555, -3.43298;0
9;iverness;;
10;cumberland, eskdale;54.386061, -3.3129036;0.5
11;evesham, worcestershire;52.0940158, -1.9483083;1
12;poplar;51.5110713, -0.0144629;1
13;lambeth, norwood;51.42213455, -0.10798745695267944;0.9
14;surreey, kingston;;
15;fermanagh and tyrone;54.591775150000004, -7.271427147416087;0.9
16;blackpool, lancashire;53.8179442, -3.0509812;1
17;glamorganshire;51.7352168, -3.3761498;1
18;llandaff and barr, glamorganshire;52.545319, -1.901123;0
19;devon, barnstaple;51.0804057, -4.0600467;0.5
20;breconshire;52.9877138, -1.1775355;1
21;durham, sedgefield;54.7770139, -1.5756205;1
22;iverness-shire;;
23;frome;51.2309875, -2.3216982;1
24;manchester, gorton;53.4646143, -2.176838216999516;0.7290000000000001
25;peeplesshire and selkirkshire;;
26;montrose;56.7114295, -2.4681544;1
27;walsall;52.5847949, -1.9822687;1
28;glasgow, st rollox;55.8721146, -4.2336294;0.6666666666666667
29;stourbridge, worcestershire;52.4577615, -2.1474345;1
30;kent, canterbury;51.2800275, 1.0802533;0
31;lisburn;54.5112913, -6.0466736;1
32;rutland and stamfor, lincolnshire;52.655389, -0.468268;0
33;andover, hampshire;51.2078275, -1.479355;1
34;peeblesshire;55.6454616, -3.1721946;1
35;great marlow;51.586075949999994, -0.8013756797940633;1
36;helston;50.1016731, -5.273032;1
37;huntingdonshire;52.37104395, -0.22357789271655937;1
38;swansea, district;51.6576223, -3.8715324;1
39;partick, lanarkshire;55.8685425, -4.308412;0
40;rutlandshire;;
41;esex, walthamstow;;
42;kidderminster, worcestershire;52.3880787, -2.2478582;1
43;sussex, rye;50.9511871, 0.7327667;0.5
44;leyton;51.5568183, -0.0051322;1
45;radnor;51.36456775, -0.1711469014878434;1
46;stirlingshire and clackmannanshir;;
47;kent, turnbridge;51.302492, 0.585529;0
48;northamptonshire;52.3106138, -0.8659129831915817;1
49;essex;51.77046785, 0.46466977412300386;1
50;monmouthshire;51.7501058, -2.8333331;1
51;stoke-on-trent, stoke;53.0162014, -2.1812607;1
52;motherwell, lanarkshire;55.7902072, -3.9920191;0.5
53;kirkcudbrightshire;55, -4;1
54;tower hamlets, whitechapel;51.5095303, -0.075386;0.63
55;ayr;55.4628044, -4.6302502;1
56;eifion, caernarvonshire;53.106597, -4.27376;0.5103
57;surrey, reigate;51.33585, -0.66199;0.9
58;cricklade;51.6414188, -1.8579414;1
59;st pancras;51.5259149, -0.1290973;1
60;bedford, bedfordshire;52.1363806, -0.4675041;1
61;wigtownshire;54.8975188, -5.0214808;1
62;belfast north;54.617670000000004, -5.905466922187719;1
63;kincardineshire;56.925681, -2.458549;1
64;fylde, lancashire;53.79336215, -2.89426008005;0
65;darwen, lancashire;53.6960957, -2.4665093;1
66;wimbledon;51.4214787, -0.2064027;1
67;nelson and colne;53.84462805, -2.2216431082180117;0.9
68;newcasle-upon-tyne;54.989692, -1.627914;1
69;gloamorganshire;;
70;windsor, berkshire;51.4800285, -0.6125716;1
71;surrey, epsom;51.3347075, -0.268833;0.567
72;stretford, lancashire;53.445428, -2.3223051;1
73;kensington;51.4989948, -0.1991229;1
74;mossley, lancashire;53.51638545, -2.0235190148351148;1
75;abingdon;51.6714842, -1.2779715;1
76;ince, lancashire;53.2828816, -2.8250708;1
77;kent, dartford;51.4443059, 0.21807;0.567
78;cornwall, camborne;50.2138828, -5.2990347;0
79;huddersfield;53.6466645, -1.7822482;1
80;cumberland, workington;54.6415716, -3.5459287;1
81;oldham;53.5415797, -2.1147831;1
82;stoke newington;51.5578698, -0.0822482;1
83;pembrokeshire;51.8339209, -4.916667;1
84;essex, saffron walden;52.021569, 0.2411256;0.6666666666666667
85;westminster, abbey;51.4981579, -0.1319441;0.81
86;cambridge;52.2055314, 0.1186637;1
87;stafforshire;;
88;devon, torquay;50.75632, -3.23487;0.567
89;aylesbury, buckinghamshire;51.8161412, -0.8130383;1
90;cricklade, wiltshire;51.6414188, -1.8579414;1
91;tyrone county;54.6008742, -7.283036973903879;1
92;kent;51.2474823, 0.7105077;1
93;honiton;50.7981119, -3.1924599;1
94;wiltshire;51.25, -1.916667;1
95;stirling;56.1181242, -3.9360012;1
96;caithness;58.404267000000004, -3.4340269886950203;1
97;carmarthenshire;51.893669849999995, -4.217282721429928;1
98;durham, houghton-le-spring;54.839602, -1.470191;0.7142857142857143
99;cumberland;54.67842505, -3.304001955591123;1
100;kent, isle of thanet;51.3243438, 1.3314426;0.75
101;rochester, chatham;51.376518, 0.519561;0.9
102;westminster;51.4973206, -0.137149;1
103;per, perthshire and kinross-shire;56.206555, -3.43298;0
104;durham, chester-le-street;54.851235, -1.573085;0.9
105;falkirk;56.00205085, -3.749622841384784;1
106;launceston;50.6365062, -4.3604432;1
107;lichfield, staffordshire;52.6843696, -1.8275286;1
108;bermondsey;51.4970125, -0.063268;1
109;cornwall, stives;50.443348900000004, -4.62465658489158;0.5
110;huntingdon;52.3314292, -0.1847723;1
111;Western Isles, Inverness-shire and Ross and Cromarty;;
112;cumberland, egremont;54.4838316, -3.5327921;0.5
113;linlithgowshire;55.916667, -3.5;1
114;newington, walworth;51.488681, -0.090476;0
115;cornwall, penryn and falmouth;50.138951, -5.090249;0
116;merionethshire;52.79397995, -3.8749544943258853;1
117;devon, totnes;50.4322816, -3.6871525;0.5
118;great grimsby;53.5671407, -0.0788045;1
119;lambeth;51.4952111, -0.1163354;1
120;manchester, platting;53.483872149999996, -2.20408596139014;0.567
121;newcastle-under-lyme;53.0117627, -2.2273919;1
122;suffolk, eye;52.3226292, 1.1463709;0.9
123;stratford-on-avon, warwickshire;52.1927803, -1.70634;1
124;westmorland, kendal;54.3322466, -2.7401448;0.81
125;cockermouth;54.6614392, -3.3590111;1
126;new ross;51.72051, -3.2413;0.567
127;kidderminster;52.3880787, -2.2478582;1
128;loughborough, leicestershire;52.7723859, -1.2077985;1
129;somerset, yeovil;50.944553049999996, -2.6095621787951884;0.567
130;linconlnshire;;
131;bridgnorth;52.5345626, -2.4194132;1
132;buckingham;51.9983175, -0.9786725;1
133;bristol;51.4538022, -2.5972985;1
134;manchester, moss side;53.365183, -2.2720385;0.63
135;kingston upon hull;53.7435722, -0.3394758;1
136;surrey, farnham;51.2109359, -0.7937917;0.567
137;finsbury, holborn;51.526403, -0.105606;0
138;peterborough;52.5725769, -0.2427336;1
139;birmingham, yardley;52.493265, -1.937593;0.63
140;dartmouth;50.3514839, -3.583844;1
141;barnstable;51.59011705, -2.524661201066831;1
142;somerset;51.161750850000004, -3.0753867062227487;1
143;glasgow, partick;55.8699211, -4.3094365;0.5714285714285714
144;york;53.9590555, -1.0815361;1
145;hitchin, hertfordshire;51.9464129, -0.2791646;1
146;durham, durham;54.7770139, -1.5756205;1
147;southwark;51.503925, -0.1049663;1
148;malton;54.1349419, -0.7965915;1
149;liverpool, everton;53.424389, -2.966944;0.567
150;down;54.3518644, -5.961616475076931;1
151;cornwall, truro;50.2633173, -5.0518107;0.5
152;gateshead;54.9625789, -1.6019294;1
153;middlesex, harrow;51.58462, -0.329158;0.9
154;city of chester, cheshire;53.1888838, -2.8907471527256074;1
155;gatehead;55.5947682, -4.5534433;1
156;newcastle upon tyne;54.989692, -1.627914;1
157;stirlingshire;56.0701208, -3.9087351;1
158;bothwell, lanarkshire;55.8026551, -4.0676955;1
159;sussex, chichester;50.8307252, -0.7902974671537156;1
160;cashel;56.1117781, -4.5742788;1
161;high peak, derbyshire;53.3675462, -1.8528746491564894;1
162;droitwich;52.26851, -2.1486075;1
163;stoke-on-trent, burslem;53.0446287, -2.1928235;1
164;essex, chelmsford;51.54450755, 0.5840084067307691;0.81
165;fife;56.3333331, -3.0000001;1
166;edmonton;51.6267968, -0.0769118;1
167;ross, herefordshire;55.6268811, -1.7912003;1
168;birmingham, moseley;52.45323, -1.88759;0.81
169;aston manor;52.5158144, -1.872822890890502;1
170;essex, harwich;51.9445801, 1.2898522;0.5
171;denbigh, denbighshire;53.1853776, -3.4178289;1
172;arundel;50.85453835, -0.5648162995576137;1
173;sheffield, brightside;53.404212, -1.431107;0.81
174;droitwich, worcestershire;52.26851, -2.1486075;1
175;down north;51.46056, -2.82694;0.27782999999999997
