
0;aylesbury;aylesbury;51.8161412, -0.8130383;1;;
1;shrewsbury, shropshire;shrewsbury;52.707755, -2.7540658;1;;
2;herefordshire;herefordshire;52.083333, -2.75;1;county;yes
3;kent, canterbury;kent;51.2800275, 1.0802533;0.567;;
4;lewes;lewes;50.8746139, 0.005115324110936268;1;;
5;surrey, wimbledon;surrey, wimbledon;51.404853, -0.304818;0.567;amenity;yes
6;wrexham, denbighshire;wrexham;53.0465084, -2.9937869;1;;
7;leeds;leeds;53.7974185, -1.5437941;1;;
8;tower hamlets, poplar;tower hamlets, poplar;51.51667, -0.05;0.6666666666666667;city;yes
9;kingston upon hull;kingston upon hull;53.7435722, -0.3394758;1;;
10;surrey, mitcham;surrey;51.3532584, -0.7183142;0.9;;
11;glasgow, gorbals;glasgow;55.861155, -4.2501687;1;;
12;durham, blaydon;durham, blaydon;54.9557596, -1.7431158;0.9;postcode;yes
13;youghal;youghal;51.5370644, -3.1396811;1;;
14;morpeth;morpeth;55.1675437, -1.6907444;1;;
15;hammersmith;hammersmith;51.4920377, -0.2236401;1;postcode;yes
16;eddisbury, cheshire;eddisbury;53.2198327, -2.6710783;0.9;;
17;leominster;leominster;52.2273558, -2.7375333;1;;
18;essex, epping;essex, epping;51.6982689, 0.1102918;0.5;city;yes
19;denbigh;denbigh;53.1853776, -3.4178289;1;;
20;grimsby;grimsby;53.5671407, -0.0788045;1;;
21;partick, lanarkshire;partick, lanarkshire;55.8685425, -4.308412;0;amenity;yes
22;peterborough;peterborough;52.5725769, -0.2427336;1;;
23;cumberland;cumberland;54.67842505, -3.304001955591123;1;;
24;caernarvonshire;caernarvonshire;53.0296552, -4.2897999;1;amenity;yes
25;dover;dover;51.1251275, 1.3134228;1;;
26;glasgow, kelvingrove;glasgow, kelvingrove;55.860766, -4.268234;0.5;city;yes
27;roscommon north;roscommon north;53.419543, -2.975673;0;street;yes
28;wexford county;wexford county;51.427015, -2.591497;0;street;yes
29;limerick county;limerick county;54.842209, -1.984424;0;street;yes
30;coventry;coventry;52.4081812, -1.510477;1;;
31;west ham;west ham;51.5280966, 0.0045685;1;amenity;yes
32;coleraine;coleraine;55.1315912, -6.671861;1;postcode;yes
33;liverpool, scotland;liverpool;53.4071991, -2.99168;1;;
34;llanelly, carmarthenshire;llanelly;51.7300218, -4.3169784;0.7290000000000001;;
35;pontefract;pontefract;53.6917422, -1.3105722;1;;
36;bedford, bedfordshire;bedford;52.1363806, -0.4675041;1;;
37;glasgow, partick;glasgow, partick;55.8699211, -4.3094365;0.5714285714285714;amenity;yes
38;parts of kesteven a, lincolnshire;parts of kesteven a, lincolnshire;52.95, -0.5;0;district;yes
39;lyme regis;lyme regis;50.7252897, -2.934559;1;;
40;kent, st augustine's;kent, st augustine's;51.295329, 1.065338;0.405;amenity;yes
41;accrington;accrington;53.7541156, -2.3655434;1;;
42;waterford west;waterford west;50.784209000000004, -0.6862173492929786;0.9;amenity;yes
43;antrim north;antrim north;54.60167345, -5.92912240354873;0.81;amenity;yes
44;rugby, warwickshire;rugby;52.3726682, -1.2620038;1;;
45;windsor;windsor;51.4800285, -0.6125716;1;;
46;donegal east;donegal east;52.205858, 0.136471;0.9;amenity;yes
47;bewdley;bewdley;52.3754763, -2.3162408;1;;
48;bermondsey;bermondsey;51.4970125, -0.063268;1;suburb;yes
49;glasgow, backfriars and hutcheson;glasgow, backfriars and hutcheson;;;;no
0;aylesbury, buckinghamshire;aylesbury;51.8161412, -0.8130383;1;;
1;down west;down west;51.46488145, -2.6260755054180525;0;amenity;yes
2;city of london;city of london;51.5156177, -0.0919983;1;;
3;east retford;east retford;53.3233189, -0.9426596;1;;
4;blackburn;blackburn;53.749326, -2.4840566;1;;
5;west ham, upton;upton;53.620327, -1.282117;1;;
6;whitby;whitby;54.4874141, -0.6155111;1;;
7;suffolk;suffolk;52.241001350000005, 1.0466830312565236;1;county;yes
8;kidderminster;kidderminster;52.3880787, -2.2478582;1;;
9;brigg, lincolnshire;brigg;53.5525329, -0.4896411;1;;
10;battersea and clapham ii;battersea and clapham ii;52.6235358, 1.2944737751526694;0.63;amenity;yes
11;devon, honiton;devon, honiton;50.7981119, -3.1924599;0.5;city;yes
12;totnes;totnes;50.4322816, -3.6871525;1;;
13;cork east;cork east;51.385632, -2.380681;0;street;yes
14;durham, barnard castle;durham, barnard castle;54.5433311, -1.9269265885034277;0.6666666666666667;amenity;yes
15;kildare north;kildare north;51.3849175, -2.3488860931208064;0.9;amenity;yes
16;cannock, staffordshire;cannock;52.688227, -2.0324197;1;;
17;wandsworth, putney;wandsworth, putney;51.457052, -0.200794;0.81;amenity;yes
18;anglesey;anglesey;53.2782273, -4.33133929345189;1;amenity;yes
19;harwich;harwich;51.9445801, 1.2898522;1;;
20;manchester, gorton;manchester, gorton;53.46456525, -2.1768155155113984;0.7290000000000001;amenity;yes
21;richmond;richmond;51.4613531, -0.3032767;1;;
22;camberwell, peckham;camberwell, peckham;51.47402, -0.0914172;0.7290000000000001;amenity;yes
23;mayo county;mayo county;54.6636121, -3.3655157;0.9;amenity;yes
24;maldon;maldon;51.731198, 0.6791849;1;;
25;armagh county;armagh county;54.3481977, -6.6540432;0.9;postcode;yes
26;sligo county;sligo county;54.3309051, -7.6322089;0;street;yes
27;monmouth, monmouthshire;monmouth;51.8098882, -2.7160441;1;;
28;tower hamlets, st george;tower hamlets, st george;51.51667, -0.05;0.81;city;yes
29;kent, tornbridge;kent, tornbridge;51.302492, 0.585529;0;amenity;yes
30;east ham;east ham;51.5394005, 0.0526042;1;amenity;yes
31;clitheroe, lancashire;clitheroe;53.8717465, -2.3926783;1;;
32;montgomeryshire;montgomeryshire;52.697605, -2.7453006;1;amenity;yes
33;ilford;ilford;51.5582734, 0.0711669;1;postcode;yes
34;edinburghshire;edinburghshire;;;;no
35;plymouth, devonport;plymouth, devonport;50.3785212, -4.1701007;0.5;amenity;yes
36;warwick and leaming, warwickshire;warwickshire;52.282749, -1.589157;0.25004699999999996;;
37;bute;bute;55.824188899999996, -5.08148580774648;1;;
38;glasgow, college;glasgow, college;55.860766, -4.268234;0.5;city;yes
39;lincoln;lincoln;53.2293545, -0.5404819;1;;
40;middlesex, brentford;brentford;51.489129, -0.307382;0.5;;
41;peeblesshire and selkirkshire;peeblesshire and selkirkshire;;;;no
42;durham;durham;54.666667, -1.75;1;county;yes
43;radcliffe-cum-farnwor, lancashire;radcliffe-cum-farnwor;53.888754, -2.672673;0;;
44;wokingham, bershire;wokingham, bershire;51.376879, -0.856097;0.5;city;yes
45;pontypool, monmouthshire;pontypool;51.7016878, -3.0405374;1;;
46;sunderland;sunderland;55.7955457, -6.3958349;1;;
47;cork south;cork south;51.613393, -0.031756;0;street;yes
48;dartmouth;dartmouth;50.3514839, -3.583844;1;;
49;westminster, st george's;st george's;53.381885, -1.477006;0.5;;
0;reigate;reigate;51.2376557, -0.2057067;1;;
1;stalybridge;stalybridge;53.4840214, -2.0562536;1;;
2;forfarshire;forfarshire;56.715141349999996, -2.890562836754113;1;county;yes
3;stepney, mile end;mile;51.5174023, -0.0462189;0.3969;;
4;cornwall;cornwall;50.416667, -4.75;1;;
5;malton;malton;54.1349419, -0.7965915;1;;
6;kent;kent;51.2474823, 0.7105077;1;county;yes
7;stepney, limehouse;limehouse;51.5174023, -0.0462189;0.3969;;
8;aberavon, glamorganshire;aberavon, glamorganshire;51.593815, -3.801832;0.5;city;yes
9;isle of ely;isle of ely;52.4101888, 0.2506969;1;amenity;yes
10;westmeath;westmeath;52.6353168, -1.071519;1;street;yes
11;arundel;arundel;50.85453835, -0.5648162995576137;1;;
12;cornwall, camborne;cornwall;50.2138828, -5.2990347;0.25004699999999996;;
13;haborough, leicestershire;haborough;52.672084, -0.9275;0;;
14;donegal north;donegal north;52.205858, 0.136471;0.9;amenity;yes
15;cashel;cashel;56.1117781, -4.5742788;1;;
16;barnsley;barnsley;53.5527719, -1.4827755;1;;
17;tower hamlets,bow and bromley;tower hamlets,bow and bromley;52.49162, -2.138843;0;street;yes
18;calne;calne;51.437977, -2.0050911;1;;
19;city of chester, cheshire;city of chester;53.1888838, -2.8907471527256074;1;;
20;donegal south;donegal south;52.205858, 0.136471;0.9;amenity;yes
21;galway connemara;galway connemara;53.06025, -2.449185;0;street;yes
22;lancashire;lancashire;53.8611703, -2.5650887919475496;1;county;yes
23;montrose;montrose;56.7114295, -2.4681544;1;;
24;salisbury, wiltshire;salisbury;51.0690613, -1.7954134;1;;
25;queen's county;queen's county;51.780964499999996, -1.4973095399951668;0.6561000000000001;amenity;yes
26;glamorganshire;glamorganshire;51.7352168, -3.3761498;1;amenity;yes
27;kesington;kesington;;;;no
28;king's county;king's county;54.1790491, -6.337904624659713;0.9;amenity;yes
29;cumberland, egremont;egremont;54.4838316, -3.5327921;0.5;;
30;dublin st. stephen's green;dublin st. stephen's green;55.956442800000005, -3.1925626250562913;0.1111111111111111;amenity;yes
31;cumberland, penrith and cockermou;cumberland, penrith and cockermou;54.609603, -3.149913;0;street;yes
32;henley, oxfordshire;henley;51.3297576, -1.5311185;1;;
33;northampton;northampton;52.2381355, -0.8963907;1;;
34;kent, sevenoaks;kent;51.27452185, 0.1961165562194977;0;;
35;kerry west;kerry west;52.50156, -3.25862;0.9;city;yes
36;truro;truro;50.2633173, -5.0518107;1;;
37;glasgow, cathcart;glasgow;55.861155, -4.2501687;1;;
38;manchester, withington;manchester, withington;53.47741975, -2.230833394921874;0.567;amenity;yes
39;glasgow, springburn;glasgow;55.861155, -4.2501687;1;;
40;ross and cromarty;ross and cromarty;57.593, -5.253873;1;state;yes
41;galway north;galway north;53.3291258, -0.9658489;0.567;amenity;yes
42;burton, staffordshire;burton;53.1104634, -2.9615762;1;;
43;chichester;chichester;50.8364862, -0.7791721;1;;
44;warwick;warwick;52.2814519, -1.5815742;1;;
45;stafforshire;stafforshire;;;;no
46;dundee;dundee;56.4605938, -2.97019;1;;
47;stoke-on-trent, stoke;stoke-on-trent;53.0162014, -2.1812607;1;;
48;cirenchester;cirenchester;;;;no
49;leitrim north;leitrim north;54.16667, -7.31667;0.9;city;yes
0;sussex, chichester;chichester;50.8307252, -0.7902974671537156;1;;
1;surrey;surrey;51.2715316, -0.3414523511290909;1;;
2;surrey, chertsey;chertsey;51.392296, -0.5038294;0.5;;
3;kilkenny south;kilkenny south;51.024068, -3.10295;0;amenity;yes
4;liverpool, edge hill;liverpool, edge hill;53.410374, -2.979375;0.81;city;yes
5;armagh south;armagh south;54.3477776, -6.663106641607193;1;suburb;yes
6;leominster, herefordshire;leominster;52.2273558, -2.7375333;1;;
7;west ham, plaistow;west ham, plaistow;51.5280966, 0.0045685;0.6666666666666667;amenity;yes
8;tower hamlets, limehouse;tower hamlets, limehouse;51.5112411, -0.031176655894780386;0.567;amenity;yes
9;newington, walworth;newington, walworth;51.4852627, -0.10158303133535646;1;suburb;yes
10;surrey, reigate;surrey, reigate;51.33585, -0.66199;0.9;city;yes
11;macclesfield, cheshire;macclesfield;53.2606635, -2.1255158;1;;
12;fulham;fulham;51.4744221, -0.2060772;1;postcode;yes
13;birkenhead;birkenhead;53.3895177, -3.0248007;1;;
14;leith;leith;55.9725499, -3.1709492;1;;
15;mossley, lancashire;mossley;53.51638545, -2.0235190148351148;1;;
16;tyrone county;tyrone county;54.6008742, -7.283036973903879;1;amenity;yes
17;wareham;wareham;50.6868972, -2.1098377;1;;
18;leitrim south;leitrim south;54.16667, -7.31667;0.9;city;yes
19;salisbury;salisbury;51.0690613, -1.7954134;1;;
20;cumberland, workington;workington;54.6415716, -3.5459287;1;;
21;wexford north;wexford north;52.592335, -1.061057;0;street;yes
22;croydon;croydon;51.3550556, -0.0643103753173489;1;district;yes
23;cornwall, stives;cornwall, stives;50.263317, -5.051811;0.5;amenity;yes
24;pembroke;pembroke;51.6754422, -4.9144858;1;;
25;sligo south;sligo south;54.344717, -7.6479166;0.567;amenity;yes
26;stoke-on-trent;stoke-on-trent;53.0162014, -2.1812607;1;;
27;hitchin, hertfordshire;hitchin;51.9464129, -0.2791646;1;;
28;somerset, frome;somerset, frome;51.2309875, -2.3216982;0.5;postcode;yes
29;west bromwich;west bromwich;52.5186579, -1.9923114;1;;
30;cork north;cork north;51.385632, -2.380681;0;street;yes
31;lincolnshire;lincolnshire;53.1823034, -0.2031208542548153;1;county;yes
32;liverpool, everton;liverpool, everton;53.424389, -2.966944;0.567;amenity;yes
33;wycombe, buckinghamshire;wycombe;51.627422, -0.7484153;0.9;;
