0;gatehead;55.5947682, -4.5534433;1.0
1;kingston upon hull;53.7435722, -0.3394758;1.0
2;West Stirlingshire, Stirlingshire and Clackmannanshire;56.150455, -3.848063;0.0
3;belfast;54.596391, -5.9301829;1.0
4;inverness;57.4790124, -4.225739;1.0
5;lisburn;54.5112913, -6.0466736;1.0
6;kingston upon thames;51.38177625, -0.27699333824284805;1.0
7;penryn and falmouth;50.170493, -5.10379;0.9
8;bedford, bedfordshire;52.1363806, -0.4675041;1.0
9;harwich;51.9445801, 1.2898522;1.0
10;durham, spennymoor;54.71006545, -1.5708645164149715;0.81
11;totnes;50.4322816, -3.6871525;1.0
12;downpatrick;54.3279335, -5.71649;1.0
13;dundee;56.4605938, -2.97019;1.0
14;ludlow, shropshire;52.3679896, -2.7193114;1.0
15;ipswich;52.0579495, 1.1526345;1.0
16;the hartlepools;54.6966814, -1.1758925;1.0
17;newcastle-under-lyme;53.0117627, -2.2273919;1.0
18;lymington;50.7583753, -1.5426885;1.0
19;banbury, oxfordshire;52.0601807, -1.3402795;1.0
20;bridport;50.733785, -2.7589005;1.0
21;wycombe;51.66356185, -0.818083680966309;1.0
22;denbigh;53.1853776, -3.4178289;1.0
23;petersfield, hampshire;51.0024945, -0.9392027;1.0
24;stalybridge;53.4840214, -2.0562536;1.0
25;colchester;51.8896903, 0.8994651;1.0
26;somerset, wells;51.2094511, -2.6451203;0.5
27;shropshire;52.65233935, -2.64356407027027;1.0
28;aberdeenshire;57.166667, -2.666667;1.0
29;middlesex;51.546055800000005, -0.2537791389340719;1.0
30;down mid;50.8251727, -3.7845004;0.44099999999999995
31;youghal;52.888611, -8.3075;1.0
32;caernarvon;53.1394364, -4.2769751;1.0
33;kent, chislehurst;51.413146, 0.065479;0.5
34;wrexham, denbighshire;53.0465084, -2.9937869;1.0
35;down south;51.58412, -2.55473;0.63
36;cumberland, penrith and cockermou;54.609603, -3.149913;0.0
37;londonberry north;51.95642, -0.1644;0.3969
38;berkshire;51.453488899999996, -1.0318729593399247;1.0
39;neath, glamorganshire;51.66079, -3.82644;0.567
40;cardiganshire;52.2945764, -3.9527809990291427;1.0
41;hackney;51.5489139, -0.049938432352439555;1.0
42;huntingdon;52.3314292, -0.1847723;1.0
43;essex, saffron walden;52.021569, 0.2411256;0.6666666666666667
