,id,yr,cst_n,cst,mag,pty_n,pty,can,vot1,pev1,pv1,pvs1,press_county
0,622,1847,aberdeen,1,1,Liberal Party (Original),63,liberals candidate 1,-990,3364,1340,1.0,aberdeenshire
1,622,1847,aberdeen,1,1,Liberal Party (Original),63,liberals candidate 2,-990,3364,1340,1.0,aberdeenshire
2,622,1847,aberdeenshire,2,1,Conservative,27,-992,-992,3694,-992,-992.0,aberdeenshire
3,622,1847,abingdon,3,1,Conservative,27,-990,-990,339,153,0.5032894611358643,abingdon
4,622,1847,abingdon,3,1,Liberal Party (Original),63,-990,-990,339,151,0.4967105388641357,abingdon
5,622,1847,andover,4,2,Liberal Party (Original),63,liberals candidate 1,-990,243,167,0.3957346081733704,andover
6,622,1847,andover,4,2,Conservative,27,conservatives candidate 1,-990,243,255,0.6042653918266296,andover
7,622,1847,andover,4,2,Conservative,27,conservatives candidate 2,-990,243,255,0.6042653918266296,andover
8,622,1847,andover,4,2,Liberal Party (Original),63,liberals candidate 2,-990,243,167,0.3957346081733704,andover
9,622,1847,anglesey,5,1,Liberal Party (Original),63,-992,-992,2465,-992,-992.0,anglesey
10,622,1847,antrim county,6,2,Conservative,27,-992,-992,3487,-992,-992.0,antrim county
11,622,1847,argyll,7,1,Conservative,27,-992,-992,1889,-992,-992.0,argyll
12,622,1847,armagh city,8,1,Liberal Party (Original),63,-992,-992,444,-992,-992.0,armagh city
13,622,1847,armagh county,9,2,Liberal Party (Original),63,-992,-992,3342,-992,-992.0,armagh county
14,622,1847,armagh county,9,2,Conservative,27,-992,-992,3342,-992,-992.0,armagh county
15,622,1847,arundel,10,1,Liberal Party (Original),63,-992,-992,221,-992,-992.0,arundel
16,622,1847,ashburton,11,1,Liberal Party (Original),63,-992,-992,262,-992,-992.0,ashburton
17,622,1847,ashton-under-lyne,12,1,Liberal Party (Original),63,-992,-992,871,-992,-992.0,ashton-under-lyne
18,622,1847,athlone,13,1,Peelites,101,-990,-990,243,101,0.5153061151504517,westmeath county
19,622,1847,athlone,13,1,Repealers,114,-990,-990,243,95,0.4846938848495483,westmeath county
20,622,1847,aylesbury,14,2,Liberal Party (Original),63,-990,-990,1513,620,0.3345925509929657,buckinghamshire
21,622,1847,aylesbury,14,2,Conservative,27,conservatives candidate 1,-990,1513,1233,0.6654074192047119,buckinghamshire
22,622,1847,aylesbury,14,2,Conservative,27,conservatives candidate 2,-990,1513,1233,0.6654074192047119,buckinghamshire
23,622,1847,ayr district of burghs,15,1,Liberal Party (Original),63,-992,-992,1051,-992,-992.0,ayr district of burghs
24,622,1847,ayrshire,16,1,Conservative,27,-992,-992,4305,-992,-992.0,ayrshire
25,622,1847,banbury,17,1,Conservative,27,-990,-990,465,164,0.4205128252506256,oxfordshire
26,622,1847,banbury,17,1,Liberal Party (Original),63,-990,-990,465,226,0.5794872045516968,oxfordshire
27,622,1847,bandon,18,1,Conservative,27,-992,-992,266,-992,-992.0,bandon
28,622,1847,banffshire,19,1,Liberal Party (Original),63,-992,-992,833,-992,-992.0,banffshire
29,622,1847,barnstable,20,2,Conservative,27,conservatives candidate 1,-990,781,820,0.6743420958518982,barnstable
30,622,1847,barnstable,20,2,Conservative,27,conservatives candidate 2,-990,781,820,0.6743420958518982,barnstable
31,622,1847,barnstable,20,2,Liberal Party (Original),63,-990,-990,781,396,0.3256579041481018,barnstable
32,622,1847,bath,21,2,Liberal Party (Original),63,liberals candidate 2,-990,2825,2321,0.6449013352394104,somersetshire
33,622,1847,bath,21,2,Liberal Party (Original),63,liberals candidate 1,-990,2825,2321,0.6449013352394104,somersetshire
34,622,1847,bath,21,2,Conservative,27,-990,-990,2825,1278,0.3550986349582672,somersetshire
35,622,1847,beaumaris district of boroughs,22,1,Liberal Party (Original),63,-992,-992,335,-992,-992.0,beaumaris district of boroughs
36,622,1847,bedford,23,2,Conservative,27,conservatives candidate 1,-990,1073,824,0.6452623605728149,bedfordshire
37,622,1847,bedford,23,2,Liberal Party (Original),63,-990,-990,1073,453,0.3547376692295074,bedfordshire
38,622,1847,bedford,23,2,Conservative,27,conservatives candidate 2,-990,1073,824,0.6452623605728149,bedfordshire
39,622,1847,bedfordshire,24,2,Conservative,27,-992,-992,4339,-992,-992.0,bedfordshire
40,622,1847,bedfordshire,24,2,Liberal Party (Original),63,-992,-992,4339,-992,-992.0,bedfordshire
41,622,1847,belfast,25,2,Liberal Party (Original),63,-990,-990,1659,929,0.3928118348121643,antrim county
42,622,1847,belfast,25,2,Peelites,101,-990,-990,1659,747,0.3158562481403351,antrim county
43,622,1847,belfast,25,2,Conservative,27,-990,-990,1659,689,0.2913319170475006,antrim county
44,622,1847,berkshire,26,3,Conservative,27,conservatives candidate 1,-992,5241,-992,-992.0,berkshire
45,622,1847,berkshire,26,3,Conservative,27,conservatives candidate 2,-992,5241,-992,-992.0,berkshire
46,622,1847,berkshire,26,3,Liberal Party (Original),63,-992,-992,5241,-992,-992.0,berkshire
47,622,1847,berwick-upon-tweed,27,2,Conservative,27,conservatives candidate 1,-990,888,614,0.5591985583305359,berwick-upon-tweed
48,622,1847,berwick-upon-tweed,27,2,Conservative,27,conservatives candidate 2,-990,888,614,0.5591985583305359,berwick-upon-tweed
49,622,1847,berwick-upon-tweed,27,2,Liberal Party (Original),63,-990,-990,888,484,0.4408014714717865,berwick-upon-tweed
50,622,1847,berwickshre,28,1,Conservative,27,-992,-992,1238,-992,-992.0,berwickshre
51,622,1847,beverley,29,2,Liberal Party (Original),63,liberals candidate 2,-990,1357,800,0.5961251854896545,beverley
52,622,1847,beverley,29,2,Conservative,27,-990,-990,1357,542,0.4038748145103455,beverley
53,622,1847,beverley,29,2,Liberal Party (Original),63,liberals candidate 1,-990,1357,800,0.5961251854896545,beverley
54,622,1847,bewdley,30,1,Liberal Party (Original),63,-990,-990,379,158,0.4968553483486176,bewdley
55,622,1847,bewdley,30,1,Conservative,27,-990,-990,379,160,0.5031446814537048,bewdley
56,622,1847,birmingham,31,2,Conservative,27,-990,-990,7081,2302,0.2861404716968536,warwickshire
57,622,1847,birmingham,31,2,Liberal Party (Original),63,liberals candidate 1,-990,7081,5743,0.7138595581054688,warwickshire
58,622,1847,birmingham,31,2,Liberal Party (Original),63,liberals candidate 3,-990,7081,5743,0.7138595581054688,warwickshire
59,622,1847,birmingham,31,2,Liberal Party (Original),63,liberals candidate 2,-990,7081,5743,0.7138595581054688,warwickshire
60,622,1847,blackburn,32,2,Chartists,16,-990,-990,1121,68,0.03992953523993492,lancashire
61,622,1847,blackburn,32,2,Liberal Party (Original),63,liberals candidate 2,-990,1121,994,0.5836758613586426,lancashire
62,622,1847,blackburn,32,2,Liberal Party (Original),63,liberals candidate 1,-990,1121,994,0.5836758613586426,lancashire
63,622,1847,blackburn,32,2,Conservative,27,-990,-990,1121,641,0.3763945996761322,lancashire
64,622,1847,bodmin,33,2,Liberal Party (Original),63,liberals candidate 2,-990,401,556,0.8261515498161316,bodmin
65,622,1847,bodmin,33,2,Conservative,27,-990,-990,401,117,0.1738484352827072,bodmin
66,622,1847,bodmin,33,2,Liberal Party (Original),63,liberals candidate 1,-990,401,556,0.8261515498161316,bodmin
67,622,1847,bolton,34,2,Conservative,27,-990,-990,1479,714,0.3550472259521484,lancashire
68,622,1847,bolton,34,2,Liberal Party (Original),63,liberals candidate 2,-990,1479,1297,0.6449527740478516,lancashire
69,622,1847,bolton,34,2,Liberal Party (Original),63,liberals candidate 1,-990,1479,1297,0.6449527740478516,lancashire
70,622,1847,boston,35,2,Liberal Party (Original),63,liberals candidate 1,-990,1083,929,0.665949821472168,lincolnshire
71,622,1847,boston,35,2,Liberal Party (Original),63,liberals candidate 2,-990,1083,929,0.665949821472168,lincolnshire
72,622,1847,boston,35,2,Conservative,27,-990,-990,1083,466,0.334050178527832,lincolnshire
73,622,1847,bradford,36,2,Conservative,27,conservatives candidate 2,-990,2083,1672,0.4729844331741333,yorkshire
74,622,1847,bradford,36,2,Liberal Party (Original),63,liberals candidate 1,-990,2083,1863,0.5270155668258667,yorkshire
75,622,1847,bradford,36,2,Conservative,27,conservatives candidate 1,-990,2083,1672,0.4729844331741333,yorkshire
76,622,1847,bradford,36,2,Liberal Party (Original),63,liberals candidate 2,-990,2083,1863,0.5270155668258667,yorkshire
77,622,1847,brecon,37,1,Liberal Party (Original),63,-992,-992,304,-992,-992.0,breconshire
78,622,1847,breconshire,38,1,Conservative,27,-992,-992,2548,-992,-992.0,breconshire
79,622,1847,bridgnorth,39,2,Conservative,27,conservatives candidate 1,-990,838,999,0.7307973504066467,bridgnorth
80,622,1847,bridgnorth,39,2,Conservative,27,conservatives candidate 2,-990,838,999,0.7307973504066467,bridgnorth
81,622,1847,bridgnorth,39,2,Liberal Party (Original),63,-990,-990,838,368,0.2692026197910309,bridgnorth
82,622,1847,bridgwater,40,2,Liberal Party (Original),63,liberals candidate 1,-990,529,591,0.6904205679893494,somersetshire
83,622,1847,bridgwater,40,2,Conservative,27,-990,-990,529,265,0.3095794320106506,somersetshire
84,622,1847,bridgwater,40,2,Liberal Party (Original),63,liberals candidate 2,-990,529,591,0.6904205679893494,somersetshire
85,622,1847,bridport,41,2,Liberal Party (Original),63,liberals candidate 2,-990,663,489,0.6301546096801758,bridport
86,622,1847,bridport,41,2,Conservative,27,conservatives candidate 2,-990,663,287,0.3698453605175018,bridport
87,622,1847,bridport,41,2,Liberal Party (Original),63,liberals candidate 1,-990,663,489,0.6301546096801758,bridport
88,622,1847,bridport,41,2,Conservative,27,conservatives candidate 1,-990,663,287,0.3698453605175018,bridport
89,622,1847,brighton,42,2,Conservative,27,-990,-990,2776,1239,0.3352272808551788,sussex
90,622,1847,brighton,42,2,Liberal Party (Original),63,liberals candidate 2,-990,2776,2457,0.6647727489471436,sussex
91,622,1847,brighton,42,2,Liberal Party (Original),63,liberals candidate 1,-990,2776,2457,0.6647727489471436,sussex
92,622,1847,bristol,43,2,Liberal Party (Original),63,liberals candidate 1,-990,11032,4552,0.4730333685874939,gloucestershire
93,622,1847,bristol,43,2,Conservative,27,conservatives candidate 1,-990,11032,5071,0.5269666314125061,gloucestershire
94,622,1847,bristol,43,2,Conservative,27,conservatives candidate 2,-990,11032,5071,0.5269666314125061,gloucestershire
95,622,1847,bristol,43,2,Liberal Party (Original),63,liberals candidate 2,-990,11032,4552,0.4730333685874939,gloucestershire
96,622,1847,buckingham,44,2,Conservative,27,conservatives candidate 2,-992,388,-992,-992.0,buckingham
97,622,1847,buckingham,44,2,Conservative,27,conservatives candidate 1,-992,388,-992,-992.0,buckingham
98,622,1847,buckinghamshire,45,3,Conservative,27,conservatives candidate 2,-992,5798,-992,-992.0,buckinghamshire
99,622,1847,buckinghamshire,45,3,Conservative,27,conservatives candidate 1,-992,5798,-992,-992.0,buckinghamshire
100,622,1847,buckinghamshire,45,3,Liberal Party (Original),63,-992,-992,5798,-992,-992.0,buckinghamshire
101,622,1847,bury,46,1,Liberal Party (Original),63,-992,-992,868,-992,-992.0,bury
102,622,1847,bury st. edmunds,47,2,Conservative,27,conservatives candidate 2,-990,751,654,0.6666666865348816,suffolk
103,622,1847,bury st. edmunds,47,2,Conservative,27,conservatives candidate 1,-990,751,654,0.6666666865348816,suffolk
104,622,1847,bury st. edmunds,47,2,Liberal Party (Original),63,-990,-990,751,327,0.3333333432674408,suffolk
105,622,1847,bute,48,1,Conservative,27,-992,-992,410,-992,-992.0,bute
106,622,1847,caernarvon district of boroughs,49,1,Conservative,27,-992,-992,888,-992,-992.0,carnarvonshire
107,622,1847,caernarvonshire,50,1,Conservative,27,-992,-992,2117,-992,-992.0,carnarvonshire
108,622,1847,caithness,51,1,Liberal Party (Original),63,-992,-992,571,-992,-992.0,caithness
109,622,1847,calne,52,1,Liberal Party (Original),63,-992,-992,154,-992,-992.0,calne
110,622,1847,cambridge,53,2,Conservative,27,-990,-990,1834,465,0.2321517765522003,cambridge
